date,count1,count2,month,dom,dow,doy,total,regular,overage1,overage2
2016-09-30,7831,3855,9,30,5,274,42768.66,39493.52,3275.14,3275.14
2016-10-01,7193,3784,10,1,6,275,38516.99,32036.47,6480.52,6480.52
2016-10-02,6385,3645,10,2,0,276,33466.71,33367.62,99.09,99.09
2016-10-03,7698,3852,10,3,1,277,41485.05,41422.67,62.38,62.38
2016-10-04,7217,3694,10,4,2,278,39516.53,39410.77,105.76,105.76
2016-10-05,7682,3850,10,5,3,279,43398.27,43198.69,199.58,199.58
2016-10-06,7224,3665,10,6,4,280,39464.79,38580.96,883.83,883.83
2016-10-07,7659,3798,10,7,5,281,41651.26,38611.13,3040.13,3040.13
2016-10-08,7206,3791,10,8,6,282,38998.41,32793.42,6204.99,6204.99
2016-10-09,6421,3666,10,9,0,283,35111.97,35013.6,98.37,90.12
2016-10-10,7706,3871,10,10,1,284,42131.09,41862.22,268.87,73.12
2016-10-11,7229,3695,10,11,2,285,40076.27,39930.78,145.49,145.49
2016-10-12,7711,3863,10,12,3,286,42297.29,42097.02,200.27,200.27
2016-10-13,7512,3732,10,13,4,287,41108.59,40072.69,1035.9,1035.9
2016-10-14,7870,3870,10,14,5,288,44934.61,41127.04,3807.57,3807.57
2016-10-15,7251,3819,10,15,6,289,39294.08,32453.56,6840.52,6840.52
2016-10-16,6442,3698,10,16,0,290,34150.3,34047.83,102.47,102.47
2016-10-17,7733,3888,10,17,1,291,41859.14,41786.17,72.97,72.97
2016-10-18,7264,3712,10,18,2,292,40248.89,40134.26,114.63,114.63
2016-10-19,7759,3888,10,19,3,293,42676.38,42422.43,253.95,253.95
2016-10-20,7553,3750,10,20,4,294,41514.76,40190.67,1324.09,1324.09
2016-10-21,7891,3881,10,21,5,295,43415.84,39544.87,3870.97,3870.97
2016-10-22,7312,3819,10,22,6,296,39808.28,32864.15,6944.13,6944.13
2016-10-23,6458,3664,10,23,0,297,34154.73,34050.35,104.38,104.38
2016-10-24,7752,3862,10,24,1,298,42002.1,41929.79,72.31,72.31
2016-10-25,7282,3674,10,25,2,299,40364.8,40260.13,104.67,104.67
2016-10-26,7764,3859,10,26,3,300,42643.44,42421.98,221.46,221.46
2016-10-27,7523,3716,10,27,4,301,41187.13,39982.18,1204.95,1204.95
2016-10-28,7835,3863,10,28,5,302,43150.38,39338.94,3811.44,3811.44
2016-10-29,7295,3786,10,29,6,303,39736.51,32291.79,7444.72,7444.72
2016-10-30,6468,3636,10,30,0,304,34349.9,34235.99,113.91,113.91
2016-10-31,7680,3853,10,31,1,305,41757.6,41651.6,106,106
2016-11-01,7165,3667,11,1,2,306,39503.83,39396.23,107.6,107.6
2016-11-02,7719,3841,11,2,3,307,42211.81,41915.29,296.52,296.52
2016-11-03,7487,3692,11,3,4,308,40993.15,39986.13,1007.02,1007.02
2016-11-04,7871,3851,11,4,5,309,43169.62,39550.85,3618.77,3618.77
2016-11-05,7343,3802,11,5,6,310,39988.08,32568.58,7419.5,7419.5
2016-11-06,6563,3645,11,6,0,311,35238.79,35106.09,132.7,132.7
2016-11-07,7764,3863,11,7,1,312,41849.55,41777.82,71.73,71.73
2016-11-08,7306,3683,11,8,2,313,40204.82,40075.29,129.53,129.53
2016-11-09,7762,3832,11,9,3,314,42166.02,41954.64,211.38,211.38
2016-11-10,7556,3707,11,10,4,315,41244.16,40269.7,974.46,974.46
2016-11-11,7889,3847,11,11,5,316,43389.77,39805.03,3584.74,3408.74
2016-11-12,7322,3798,11,12,6,317,39773.53,32806.69,6966.84,6966.84
2016-11-13,6604,3669,11,13,0,318,35333.51,35204.55,128.96,128.96
2016-11-14,7804,3876,11,14,1,319,42252.47,42121.65,130.82,130.82
2016-11-15,7392,3692,11,15,2,320,40634.79,40505.5,129.29,129.29
2016-11-16,7774,3821,11,16,3,321,42389.63,42125.77,263.86,263.86
2016-11-17,7599,3686,11,17,4,322,41295.65,40418.35,877.3,877.3
2016-11-18,7944,3863,11,18,5,323,43212.95,40166.19,3046.76,3046.76
2016-11-19,7394,3815,11,19,6,324,40241.14,33601.68,6639.46,6639.46
2016-11-20,6770,3682,11,20,0,325,36254.2,36140.4,113.8,113.8
2016-11-21,7955,3862,11,21,1,326,43104.1,42938.61,165.49,165.49
2016-11-22,7697,3762,11,22,2,327,42142.42,41980.51,161.91,161.91
2016-11-23,8329,3867,11,23,3,328,51634.78,51199.59,435.19,435.19
2016-11-24,3848,2052,11,24,4,329,22137.43,4874.59,17262.84,40.87
2016-11-25,8027,3703,11,25,5,330,56201.79,47127.77,9074.02,4186.68
2016-11-26,7909,3803,11,26,6,331,48195.21,39537.29,8657.92,8657.92
2016-11-27,6974,3674,11,27,0,332,38781.07,38551.66,229.41,229.41
2016-11-28,7923,3852,11,28,1,333,42895.65,42767.33,128.32,128.32
2016-11-29,7542,3740,11,29,2,334,41477.06,41337.61,139.45,139.45
2016-11-30,7887,3811,11,30,3,335,43037.31,42799.09,238.22,238.22
2016-12-01,7733,3725,12,1,4,336,42268.9,41472.71,796.19,796.19
2016-12-02,8021,3763,12,2,5,337,44733.01,41502.65,3230.36,3230.36
2016-12-03,7603,3734,12,3,6,338,43833.63,36202.08,7631.55,7631.55
2016-12-04,6796,3606,12,4,0,339,37675.69,37511.81,163.88,163.88
2016-12-05,7927,3786,12,5,1,340,43263.96,43136.42,127.54,127.54
2016-12-06,7673,3715,12,6,2,341,44161.08,43965.3,195.78,195.78
2016-12-07,7865,3750,12,7,3,342,43404.66,43174.83,229.83,229.83
2016-12-08,7822,3730,12,8,4,343,43172.82,42372.37,800.45,800.45
2016-12-09,8122,3773,12,9,5,344,46022.7,42939.33,3083.37,3083.37
2016-12-10,7667,3708,12,10,6,345,45111.52,36615.53,8495.99,8495.99
2016-12-11,6836,3603,12,11,0,346,38766,38539.96,226.04,226.04
2016-12-12,7816,3720,12,12,1,347,43135.06,43002.82,132.24,132.24
2016-12-13,7669,3667,12,13,2,348,42995.88,42804.36,191.52,191.52
2016-12-14,7808,3719,12,14,3,349,43746.05,43494.4,251.65,251.65
2016-12-15,7682,3670,12,15,4,350,43283.67,42563.92,719.75,719.75
2016-12-16,8013,3722,12,16,5,351,46547.73,43142.84,3404.89,3404.89
2016-12-17,7561,3641,12,17,6,352,45452.72,35983.64,9469.08,9469.08
2016-12-18,6844,3545,12,18,0,353,40431.07,40067.75,363.32,363.32
2016-12-19,7987,3716,12,19,1,354,45713.04,45485.56,227.48,227.48
2016-12-20,7780,3664,12,20,2,355,44968.84,44689.34,279.5,279.5
2016-12-21,7938,3700,12,21,3,356,46099.64,45564.88,534.76,534.76
2016-12-22,7856,3676,12,22,4,357,45751.22,44360.43,1390.79,1390.79
2016-12-23,8122,3720,12,23,5,358,48199.47,43039.21,5160.26,5160.26
2016-12-24,7445,3618,12,24,6,359,42354.01,31411.6,10942.41,10942.41
2016-12-25,371,91,12,25,0,360,1989.78,1788.84,200.94,0
2016-12-26,7674,3644,12,26,1,361,44202.53,43753.07,449.46,252.59
2016-12-27,7597,3648,12,27,2,362,41828.98,41680.73,148.25,148.25
2016-12-28,7625,3703,12,28,3,363,42061.05,41917.1,143.95,143.95
2016-12-29,7629,3676,12,29,4,364,42081.72,41786.84,294.88,294.88
2016-12-30,7817,3704,12,30,5,365,43628.08,42541.01,1087.07,1087.07
2016-12-31,7283,3645,12,31,6,366,39437.92,36217.25,3220.67,3220.67
2017-01-01,5947,3380,1,1,0,1,31782.2,31096.76,685.44,65.56
2017-01-02,7258,3661,1,2,1,2,38542.48,38441.45,101.03,101.03
2017-01-03,7001,3572,1,3,2,3,37741.01,37636.57,104.44,104.44
2017-01-04,7350,3685,1,4,3,4,39418.38,39264.65,153.73,150.73
2017-01-05,7246,3579,1,5,4,5,39082.13,38691.39,390.74,390.74
2017-01-06,7503,3671,1,6,5,6,40084.58,38151.28,1933.3,1933.3
2017-01-07,6912,3602,1,7,6,7,37360.39,32014.65,5345.74,5345.74
2017-01-08,6337,3513,1,8,0,8,32930.77,32848.73,82.04,82.04
2017-01-09,7441,3698,1,9,1,9,39758.48,39635.55,122.93,122.93
2017-01-10,7027,3552,1,10,2,10,38251.12,38143.55,107.57,107.57
2017-01-11,7376,3671,1,11,3,11,39671.89,39535.61,136.28,136.28
2017-01-12,7280,3583,1,12,4,12,39342.26,38833.89,508.37,508.37
2017-01-13,7589,3712,1,13,5,13,40886.13,38505.78,2380.35,2380.35
2017-01-14,7041,3645,1,14,6,14,37888.96,32022.02,5866.94,5866.94
2017-01-15,6330,3528,1,15,0,15,33005.22,32908.04,97.18,97.18
2017-01-16,7406,3714,1,16,1,16,40216.74,39760.85,455.89,85.36
2017-01-17,7013,3598,1,17,2,17,38029.9,37941.48,88.42,88.42
2017-01-18,7339,3720,1,18,3,18,39170.33,39043.37,126.96,126.96
2017-01-19,7227,3621,1,19,4,19,38751.14,38239.19,511.95,511.95
2017-01-20,7502,3744,1,20,5,20,39867.16,37713.04,2154.12,2154.12
2017-01-21,7036,3690,1,21,6,21,37125.78,32000.82,5124.96,5124.96
2017-01-22,6212,3550,1,22,0,22,32035.52,31957.19,78.33,78.33
2017-01-23,7332,3737,1,23,1,23,38459.78,38380.47,79.31,79.31
2017-01-24,6829,3589,1,24,2,24,36803.04,36701.02,102.02,102.02
2017-01-25,7247,3714,1,25,3,25,38663.78,38542.86,120.92,120.92
2017-01-26,7134,3620,1,26,4,26,38247.82,37810.62,437.2,437.2
2017-01-27,7400,3726,1,27,5,27,39274.41,37232.11,2042.3,2042.3
2017-01-28,6966,3674,1,28,6,28,36778.87,31886.13,4892.74,4892.74
2017-01-29,6219,3559,1,29,0,29,32116.89,32044.74,72.15,72.15
2017-01-30,7281,3704,1,30,1,30,38470.51,38401.23,69.28,69.28
2017-01-31,6787,3567,1,31,2,31,36742.95,36629.45,113.5,113.5
2017-02-01,7076,3695,2,1,3,32,37465.42,37387.48,77.94,77.94
2017-02-02,6986,3576,2,2,4,33,37118.2,36728.53,389.67,389.67
2017-02-03,7290,3688,2,3,5,34,38698.47,36972.07,1726.4,1726.4
2017-02-04,6840,3631,2,4,6,35,35998.61,31471.18,4527.43,4527.43
2017-02-05,6125,3535,2,5,0,36,31415.02,31377.07,37.95,37.95
2017-02-06,7138,3682,2,6,1,37,37442.67,37396.1,46.57,46.57
2017-02-07,6715,3566,2,7,2,38,35832.1,35796.21,35.89,35.89
2017-02-08,7111,3677,2,8,3,39,37720.07,37641.8,78.27,78.27
2017-02-09,6898,3543,2,9,4,40,36575.03,36273,302.03,302.03
2017-02-10,7266,3683,2,10,5,41,38679.52,37131.72,1547.8,1547.8
2017-02-11,6798,3617,2,11,6,42,36034.18,31845.54,4188.64,4188.64
2017-02-12,6088,3540,2,12,0,43,31465.24,31415.35,49.89,49.89
2017-02-13,7089,3662,2,13,1,44,37424.7,37384.53,40.17,40.17
2017-02-14,6743,3564,2,14,2,45,36119.74,36068.3,51.44,51.44
2017-02-15,7045,3669,2,15,3,46,37613.2,37541.37,71.83,71.83
2017-02-16,6692,3515,2,16,4,47,35759.48,35426.53,332.95,332.95
2017-02-17,7238,3684,2,17,5,48,38673.87,36969.23,1704.64,1704.64
2017-02-18,6796,3627,2,18,6,49,35993.84,31700.28,4293.56,4293.56
2017-02-19,6052,3502,2,19,0,50,31025.11,30974.27,50.84,50.84
2017-02-20,7208,3677,2,20,1,51,39240.22,38703.65,536.57,38.47
2017-02-21,6760,3562,2,21,2,52,36636.34,36558.48,77.86,77.86
2017-02-22,7135,3688,2,22,3,53,38067.03,37983.31,83.72,83.72
2017-02-23,7014,3598,2,23,4,54,37802.85,37273.58,529.27,529.27
2017-02-24,7277,3697,2,24,5,55,39270.72,37101.27,2169.45,2169.45
2017-02-25,6753,3619,2,25,6,56,35932.23,31157.42,4774.81,4774.81
2017-02-26,6051,3520,2,26,0,57,31401.74,31345.06,56.68,56.68
2017-02-27,7206,3703,2,27,1,58,38257.73,38217.52,40.21,40.21
2017-02-28,6690,3573,2,28,2,59,36792.39,36713.63,78.76,78.76
2017-03-01,6958,3640,3,1,3,60,37590.62,37494.37,96.25,96.25
